report_date,clean_section,severity,final_status,status_symbol
2025-09-30,Activated But Unused Icf Services In Ui5 Apps,2,YELLOW,游리
2025-09-30,Activation Status And Validity Of User System,3,RED,游댮
2025-09-30,Age Of Support Packages,2,YELLOW,游리
2025-09-30,Backup And Recovery,2,YELLOW,游리
2025-09-30,Column Tables With Largest Delta Stores,1,GREEN,游릭
2025-09-30,Configuring A1C For SAP Note Assistant,1,GREEN,游릭
2025-09-30,Cpu Usage Of SAP HANA Server,1,GREEN,游릭
2025-09-30,"Critical Authorizations, Which Allow To Do Anything",3,RED,游댮
2025-09-30,"Critical Authorizations, Which Should Only See Very Limited Use In Production",2,YELLOW,游리
2025-09-30,Data Quality,1,GREEN,游릭
2025-09-30,Database - Maintenance Phases,1,GREEN,游릭
2025-09-30,Db Load Profile,1,GREEN,游릭
2025-09-30,Diagnosis Files,2,YELLOW,游리
2025-09-30,Disk Configuration,1,GREEN,游릭
2025-09-30,Disk Usage,1,GREEN,游릭
2025-09-30,Enhanced Hardware Monitoring In Cloud Environments,2,YELLOW,游리
2025-09-30,Failed Changes,3,RED,游댮
2025-09-30,Financial Data Quality,2,YELLOW,游리
2025-09-30,Fiori Checks For A1C,2,YELLOW,游리
2025-09-30,Global Consistency Check Run,3,RED,游댮
2025-09-30,HANA Database Version For A1H,1,GREEN,游릭
2025-09-30,HANA Database Version For D1H,1,GREEN,游릭
2025-09-30,HANA Database Version For Q1H,1,GREEN,游릭
2025-09-30,HANA Database Version For S2H,1,GREEN,游릭
2025-09-30,Hardware Capacity,1,GREEN,游릭
2025-09-30,Http/2 Support,1,GREEN,游릭
2025-09-30,Important Periodic Jobs,2,YELLOW,游리
2025-09-30,Important SAP Notes For SAP HANA,1,GREEN,游릭
2025-09-30,Largest Non-Partitioned Column Tables (Records),1,GREEN,游릭
2025-09-30,License Information,1,GREEN,游릭
2025-09-30,Memory Allocation Of Tables,1,GREEN,游릭
2025-09-30,Memory Consumption Of Indexserver,2,YELLOW,游리
2025-09-30,Memory Usage Of SAP HANA Instance,1,GREEN,游릭
2025-09-30,Memory Usage Of SAP HANA Server,1,GREEN,游릭
2025-09-30,Operating System(S) - Maintenance Phases,1,GREEN,游릭
2025-09-30,Overview System A1C,1,GREEN,游릭
2025-09-30,Parameter Recommendation,2,YELLOW,游리
2025-09-30,Performance Evaluation,1,GREEN,游릭
2025-09-30,Performance Indicators For A1C,1,GREEN,游릭
2025-09-30,Performance Overview A1C,1,GREEN,游릭
2025-09-30,Remote Function Call For - A1C,3,RED,游댮
2025-09-30,Row Store Fragmentation,1,GREEN,游릭
2025-09-30,Row Store Size,1,GREEN,游릭
2025-09-30,SAP Application Release - Maintenance Phases,3,RED,游댮
2025-09-30,SAP Fiori Front-End Server Version,1,GREEN,游릭
2025-09-30,SAP Fiori Launchpad - Spaces And Pages Adoption,1,GREEN,游릭
2025-09-30,SAP Fiori Launchpad Performance - Home Page Mode,1,GREEN,游릭
2025-09-30,SAP HANA Alerts,2,YELLOW,游리
2025-09-30,SAP HANA Database A1H,3,RED,游댮
2025-09-30,SAP HANA Database D1H,2,YELLOW,游리
2025-09-30,SAP HANA Database Q1H,2,YELLOW,游리
2025-09-30,SAP HANA Database S2H,2,YELLOW,游리
2025-09-30,SAP HANA Dumps,2,YELLOW,游리
2025-09-30,SAP HANA Resource Consumption,1,GREEN,游릭
2025-09-30,SAP HANA Service Restarts,2,YELLOW,游리
2025-09-30,SAP HANA Workload Management,2,YELLOW,游리
2025-09-30,SAP HANA: Installed Dbsl Version,1,GREEN,游릭
2025-09-30,SAP HANA: Installed Sqldbc Version,1,GREEN,游릭
2025-09-30,SAP Netweaver Application Server ABAP Of A1C,3,RED,游댮
2025-09-30,SAP Netweaver Gateway,2,YELLOW,游리
2025-09-30,SAP System Operating A1C,2,YELLOW,游리
2025-09-30,SAPui5 Version,1,GREEN,游릭
2025-09-30,Security,3,RED,游댮
2025-09-30,Security Risk Due To Outdated Support Packages,2,YELLOW,游리
2025-09-30,Sending Earlywatch Alert Of A1C To SAP Backbone,1,GREEN,游릭
2025-09-30,Service Data Quality And Service Readiness,2,YELLOW,游리
2025-09-30,Service Preparation Check (Rtcctool),2,YELLOW,游리
2025-09-30,Service Preparation Of A1C,2,YELLOW,游리
2025-09-30,Service Summary,3,RED,游댮
2025-09-30,Software Change And Transport Management Of A1C,3,RED,游댮
2025-09-30,Software Configuration For A1C,2,YELLOW,游리
2025-09-30,Statisticsserver And Monitoring,1,GREEN,游릭
2025-09-30,Transportation Management System Checks,2,YELLOW,游리
2025-09-30,Ui Technologies Checks,2,YELLOW,游리
2025-10-07,Activated But Unused Icf Services In Ui5 Apps,2,YELLOW,游리
2025-10-07,Activation Status And Validity Of User System,3,RED,游댮
2025-10-07,Age Of Support Packages,2,YELLOW,游리
2025-10-07,Backup And Recovery,2,YELLOW,游리
2025-10-07,Column Tables With Largest Delta Stores,1,GREEN,游릭
2025-10-07,Configuring A1C For SAP Note Assistant,1,GREEN,游릭
2025-10-07,Cpu Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-07,"Critical Authorizations, Which Allow To Do Anything",3,RED,游댮
2025-10-07,"Critical Authorizations, Which Should Only See Very Limited Use In Production",2,YELLOW,游리
2025-10-07,Data Quality,1,GREEN,游릭
2025-10-07,Database - Maintenance Phases,1,GREEN,游릭
2025-10-07,Db Load Profile,1,GREEN,游릭
2025-10-07,Diagnosis Files,2,YELLOW,游리
2025-10-07,Disk Configuration,1,GREEN,游릭
2025-10-07,Disk Usage,1,GREEN,游릭
2025-10-07,Enhanced Hardware Monitoring In Cloud Environments,2,YELLOW,游리
2025-10-07,Failed Changes,3,RED,游댮
2025-10-07,Financial Data Quality,2,YELLOW,游리
2025-10-07,Fiori Checks For A1C,2,YELLOW,游리
2025-10-07,Global Consistency Check Run,3,RED,游댮
2025-10-07,HANA Database Version For A1H,1,GREEN,游릭
2025-10-07,HANA Database Version For D1H,1,GREEN,游릭
2025-10-07,HANA Database Version For Q1H,1,GREEN,游릭
2025-10-07,HANA Database Version For S2H,1,GREEN,游릭
2025-10-07,Hardware Capacity,1,GREEN,游릭
2025-10-07,Http/2 Support,1,GREEN,游릭
2025-10-07,Important Periodic Jobs,2,YELLOW,游리
2025-10-07,Important SAP Notes For SAP HANA,1,GREEN,游릭
2025-10-07,Largest Non-Partitioned Column Tables (Records),1,GREEN,游릭
2025-10-07,License Information,1,GREEN,游릭
2025-10-07,Memory Allocation Of Tables,1,GREEN,游릭
2025-10-07,Memory Consumption Of Indexserver,2,YELLOW,游리
2025-10-07,Memory Usage Of SAP HANA Instance,1,GREEN,游릭
2025-10-07,Memory Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-07,Operating System(S) - Maintenance Phases,1,GREEN,游릭
2025-10-07,Overview System A1C,1,GREEN,游릭
2025-10-07,Parameter Recommendation,2,YELLOW,游리
2025-10-07,Performance Evaluation,1,GREEN,游릭
2025-10-07,Performance Indicators For A1C,1,GREEN,游릭
2025-10-07,Performance Overview A1C,1,GREEN,游릭
2025-10-07,Remote Function Call For - A1C,3,RED,游댮
2025-10-07,Row Store Fragmentation,1,GREEN,游릭
2025-10-07,Row Store Size,1,GREEN,游릭
2025-10-07,SAP Application Release - Maintenance Phases,3,RED,游댮
2025-10-07,SAP Fiori Front-End Server Version,1,GREEN,游릭
2025-10-07,SAP Fiori Launchpad - Spaces And Pages Adoption,1,GREEN,游릭
2025-10-07,SAP Fiori Launchpad Performance - Home Page Mode,1,GREEN,游릭
2025-10-07,SAP HANA Alerts,2,YELLOW,游리
2025-10-07,SAP HANA Database A1H,3,RED,游댮
2025-10-07,SAP HANA Database D1H,2,YELLOW,游리
2025-10-07,SAP HANA Database Q1H,2,YELLOW,游리
2025-10-07,SAP HANA Database S2H,2,YELLOW,游리
2025-10-07,SAP HANA Dumps,2,YELLOW,游리
2025-10-07,SAP HANA Resource Consumption,1,GREEN,游릭
2025-10-07,SAP HANA Service Restarts,1,GREEN,游릭
2025-10-07,SAP HANA Workload Management,2,YELLOW,游리
2025-10-07,SAP HANA: Installed Dbsl Version,1,GREEN,游릭
2025-10-07,SAP HANA: Installed Sqldbc Version,1,GREEN,游릭
2025-10-07,SAP Netweaver Application Server ABAP Of A1C,3,RED,游댮
2025-10-07,SAP Netweaver Gateway,2,YELLOW,游리
2025-10-07,SAP System Operating A1C,2,YELLOW,游리
2025-10-07,SAPui5 Version,1,GREEN,游릭
2025-10-07,Security,3,RED,游댮
2025-10-07,Security Risk Due To Outdated Support Packages,2,YELLOW,游리
2025-10-07,Sending Earlywatch Alert Of A1C To SAP Backbone,1,GREEN,游릭
2025-10-07,Service Data Quality And Service Readiness,2,YELLOW,游리
2025-10-07,Service Preparation Check (Rtcctool),2,YELLOW,游리
2025-10-07,Service Preparation Of A1C,2,YELLOW,游리
2025-10-07,Service Summary,3,RED,游댮
2025-10-07,Software Change And Transport Management Of A1C,3,RED,游댮
2025-10-07,Software Configuration For A1C,2,YELLOW,游리
2025-10-07,Statisticsserver And Monitoring,1,GREEN,游릭
2025-10-07,Transportation Management System Checks,2,YELLOW,游리
2025-10-07,Ui Technologies Checks,2,YELLOW,游리
2025-10-14,Activated But Unused Icf Services In Ui5 Apps,2,YELLOW,游리
2025-10-14,Activation Status And Validity Of User System,3,RED,游댮
2025-10-14,Age Of Support Packages,2,YELLOW,游리
2025-10-14,Backup And Recovery,2,YELLOW,游리
2025-10-14,Column Tables With Largest Delta Stores,1,GREEN,游릭
2025-10-14,Configuring A1C For SAP Note Assistant,1,GREEN,游릭
2025-10-14,Cpu Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-14,"Critical Authorizations, Which Allow To Do Anything",3,RED,游댮
2025-10-14,"Critical Authorizations, Which Should Only See Very Limited Use In Production",2,YELLOW,游리
2025-10-14,Data Quality,1,GREEN,游릭
2025-10-14,Database - Maintenance Phases,1,GREEN,游릭
2025-10-14,Db Load Profile,1,GREEN,游릭
2025-10-14,Diagnosis Files,2,YELLOW,游리
2025-10-14,Disk Configuration,1,GREEN,游릭
2025-10-14,Disk Usage,1,GREEN,游릭
2025-10-14,Enhanced Hardware Monitoring In Cloud Environments,2,YELLOW,游리
2025-10-14,Failed Changes,2,YELLOW,游리
2025-10-14,Financial Data Quality,2,YELLOW,游리
2025-10-14,Fiori Checks For A1C,2,YELLOW,游리
2025-10-14,Global Consistency Check Run,3,RED,游댮
2025-10-14,HANA Database Version For A1H,1,GREEN,游릭
2025-10-14,HANA Database Version For D1H,1,GREEN,游릭
2025-10-14,HANA Database Version For Q1H,1,GREEN,游릭
2025-10-14,HANA Database Version For S2H,1,GREEN,游릭
2025-10-14,Hardware Capacity,1,GREEN,游릭
2025-10-14,Http/2 Support,1,GREEN,游릭
2025-10-14,Important Periodic Jobs,2,YELLOW,游리
2025-10-14,Important SAP Notes For SAP HANA,1,GREEN,游릭
2025-10-14,Largest Non-Partitioned Column Tables (Records),1,GREEN,游릭
2025-10-14,License Information,1,GREEN,游릭
2025-10-14,Memory Allocation Of Tables,1,GREEN,游릭
2025-10-14,Memory Consumption Of Indexserver,2,YELLOW,游리
2025-10-14,Memory Usage Of SAP HANA Instance,1,GREEN,游릭
2025-10-14,Memory Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-14,Operating System(S) - Maintenance Phases,1,GREEN,游릭
2025-10-14,Overview System A1C,1,GREEN,游릭
2025-10-14,Parameter Recommendation,2,YELLOW,游리
2025-10-14,Performance Evaluation,1,GREEN,游릭
2025-10-14,Performance Indicators For A1C,1,GREEN,游릭
2025-10-14,Performance Overview A1C,1,GREEN,游릭
2025-10-14,Remote Function Call For - A1C,2,YELLOW,游리
2025-10-14,Row Store Fragmentation,1,GREEN,游릭
2025-10-14,Row Store Size,1,GREEN,游릭
2025-10-14,SAP Application Release - Maintenance Phases,3,RED,游댮
2025-10-14,SAP Fiori Front-End Server Version,1,GREEN,游릭
2025-10-14,SAP Fiori Launchpad - Spaces And Pages Adoption,1,GREEN,游릭
2025-10-14,SAP Fiori Launchpad Performance - Home Page Mode,1,GREEN,游릭
2025-10-14,SAP HANA Alerts,2,YELLOW,游리
2025-10-14,SAP HANA Column Unloads,2,YELLOW,游리
2025-10-14,SAP HANA Database A1H,3,RED,游댮
2025-10-14,SAP HANA Database D1H,2,YELLOW,游리
2025-10-14,SAP HANA Database Q1H,2,YELLOW,游리
2025-10-14,SAP HANA Database S2H,2,YELLOW,游리
2025-10-14,SAP HANA Dumps,2,YELLOW,游리
2025-10-14,SAP HANA Resource Consumption,1,GREEN,游릭
2025-10-14,SAP HANA Service Restarts,1,GREEN,游릭
2025-10-14,SAP HANA Workload Management,2,YELLOW,游리
2025-10-14,SAP HANA: Installed Dbsl Version,1,GREEN,游릭
2025-10-14,SAP HANA: Installed Sqldbc Version,1,GREEN,游릭
2025-10-14,SAP Netweaver Application Server ABAP Of A1C,2,YELLOW,游리
2025-10-14,SAP Netweaver Gateway,2,YELLOW,游리
2025-10-14,SAP System Operating A1C,2,YELLOW,游리
2025-10-14,SAPui5 Version,1,GREEN,游릭
2025-10-14,Security,3,RED,游댮
2025-10-14,Security Risk Due To Outdated Support Packages,2,YELLOW,游리
2025-10-14,Sending Earlywatch Alert Of A1C To SAP Backbone,1,GREEN,游릭
2025-10-14,Service Data Quality And Service Readiness,2,YELLOW,游리
2025-10-14,Service Preparation Check (Rtcctool),2,YELLOW,游리
2025-10-14,Service Preparation Of A1C,2,YELLOW,游리
2025-10-14,Service Summary,3,RED,游댮
2025-10-14,Software Change And Transport Management Of A1C,2,YELLOW,游리
2025-10-14,Software Configuration For A1C,2,YELLOW,游리
2025-10-14,Statisticsserver And Monitoring,2,YELLOW,游리
2025-10-14,Transportation Management System Checks,2,YELLOW,游리
2025-10-14,Ui Technologies Checks,2,YELLOW,游리
2025-10-21,Activated But Unused Icf Services In Ui5 Apps,2,YELLOW,游리
2025-10-21,Activation Status And Validity Of User System,3,RED,游댮
2025-10-21,Age Of Support Packages,2,YELLOW,游리
2025-10-21,Backup And Recovery,2,YELLOW,游리
2025-10-21,Column Tables With Largest Delta Stores,1,GREEN,游릭
2025-10-21,Configuring A1C For SAP Note Assistant,1,GREEN,游릭
2025-10-21,Cpu Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-21,"Critical Authorizations, Which Allow To Do Anything",3,RED,游댮
2025-10-21,"Critical Authorizations, Which Should Only See Very Limited Use In Production",2,YELLOW,游리
2025-10-21,Data Quality,1,GREEN,游릭
2025-10-21,Database - Maintenance Phases,1,GREEN,游릭
2025-10-21,Db Load Profile,1,GREEN,游릭
2025-10-21,Diagnosis Files,2,YELLOW,游리
2025-10-21,Disk Configuration,1,GREEN,游릭
2025-10-21,Disk Usage,1,GREEN,游릭
2025-10-21,Enhanced Hardware Monitoring In Cloud Environments,2,YELLOW,游리
2025-10-21,Failed Changes,1,GREEN,游릭
2025-10-21,Financial Data Quality,2,YELLOW,游리
2025-10-21,Fiori Checks For A1C,2,YELLOW,游리
2025-10-21,Global Consistency Check Run,3,RED,游댮
2025-10-21,HANA Database Version For A1H,1,GREEN,游릭
2025-10-21,HANA Database Version For D1H,1,GREEN,游릭
2025-10-21,HANA Database Version For Q1H,1,GREEN,游릭
2025-10-21,HANA Database Version For S2H,1,GREEN,游릭
2025-10-21,Hardware Capacity,3,RED,游댮
2025-10-21,Http/2 Support,1,GREEN,游릭
2025-10-21,Important Periodic Jobs,2,YELLOW,游리
2025-10-21,Important SAP Notes For SAP HANA,1,GREEN,游릭
2025-10-21,Largest Non-Partitioned Column Tables (Records),1,GREEN,游릭
2025-10-21,License Information,1,GREEN,游릭
2025-10-21,Memory Allocation Of Tables,1,GREEN,游릭
2025-10-21,Memory Consumption Of Indexserver,2,YELLOW,游리
2025-10-21,Memory Usage Of SAP HANA Instance,1,GREEN,游릭
2025-10-21,Memory Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-21,Operating System(S) - Maintenance Phases,1,GREEN,游릭
2025-10-21,Overview System A1C,1,GREEN,游릭
2025-10-21,Parameter Recommendation,2,YELLOW,游리
2025-10-21,Performance Evaluation,1,GREEN,游릭
2025-10-21,Performance Indicators For A1C,1,GREEN,游릭
2025-10-21,Performance Overview A1C,1,GREEN,游릭
2025-10-21,Remote Function Call For - A1C,2,YELLOW,游리
2025-10-21,Row Store Fragmentation,1,GREEN,游릭
2025-10-21,Row Store Size,1,GREEN,游릭
2025-10-21,SAP Application Release - Maintenance Phases,3,RED,游댮
2025-10-21,SAP Fiori Front-End Server Version,1,GREEN,游릭
2025-10-21,SAP Fiori Launchpad - Spaces And Pages Adoption,1,GREEN,游릭
2025-10-21,SAP Fiori Launchpad Performance - Home Page Mode,1,GREEN,游릭
2025-10-21,SAP HANA Alerts,2,YELLOW,游리
2025-10-21,SAP HANA Database A1H,3,RED,游댮
2025-10-21,SAP HANA Database D1H,2,YELLOW,游리
2025-10-21,SAP HANA Database Q1H,2,YELLOW,游리
2025-10-21,SAP HANA Database S2H,2,YELLOW,游리
2025-10-21,SAP HANA Dumps,2,YELLOW,游리
2025-10-21,SAP HANA Resource Consumption,1,GREEN,游릭
2025-10-21,SAP HANA Service Restarts,1,GREEN,游릭
2025-10-21,SAP HANA Workload Management,2,YELLOW,游리
2025-10-21,SAP HANA: Installed Dbsl Version,1,GREEN,游릭
2025-10-21,SAP HANA: Installed Sqldbc Version,1,GREEN,游릭
2025-10-21,SAP Netweaver Application Server ABAP Of A1C,1,GREEN,游릭
2025-10-21,SAP Netweaver Gateway,2,YELLOW,游리
2025-10-21,SAP System Operating A1C,1,GREEN,游릭
2025-10-21,SAPui5 Version,1,GREEN,游릭
2025-10-21,Security,3,RED,游댮
2025-10-21,Security Risk Due To Outdated Support Packages,2,YELLOW,游리
2025-10-21,Sending Earlywatch Alert Of A1C To SAP Backbone,1,GREEN,游릭
2025-10-21,Service Data Quality And Service Readiness,2,YELLOW,游리
2025-10-21,Service Preparation Check (Rtcctool),2,YELLOW,游리
2025-10-21,Service Preparation Of A1C,2,YELLOW,游리
2025-10-21,Service Summary,3,RED,游댮
2025-10-21,Software Change And Transport Management Of A1C,1,GREEN,游릭
2025-10-21,Software Configuration For A1C,2,YELLOW,游리
2025-10-21,Statisticsserver And Monitoring,2,YELLOW,游리
2025-10-21,Transportation Management System Checks,2,YELLOW,游리
2025-10-21,Ui Technologies Checks,2,YELLOW,游리
2025-10-28,Activated But Unused Icf Services In Ui5 Apps,2,YELLOW,游리
2025-10-28,Activation Status And Validity Of User System,3,RED,游댮
2025-10-28,Age Of Support Packages,2,YELLOW,游리
2025-10-28,Backup And Recovery,2,YELLOW,游리
2025-10-28,Column Tables With Largest Delta Stores,1,GREEN,游릭
2025-10-28,Configuring A1C For SAP Note Assistant,1,GREEN,游릭
2025-10-28,Cpu Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-28,"Critical Authorizations, Which Allow To Do Anything",3,RED,游댮
2025-10-28,"Critical Authorizations, Which Should Only See Very Limited Use In Production",2,YELLOW,游리
2025-10-28,Data Quality,1,GREEN,游릭
2025-10-28,Database - Maintenance Phases,1,GREEN,游릭
2025-10-28,Db Load Profile,1,GREEN,游릭
2025-10-28,Diagnosis Files,2,YELLOW,游리
2025-10-28,Disk Configuration,1,GREEN,游릭
2025-10-28,Disk Usage,1,GREEN,游릭
2025-10-28,Enhanced Hardware Monitoring In Cloud Environments,2,YELLOW,游리
2025-10-28,Failed Changes,1,GREEN,游릭
2025-10-28,Financial Data Quality,2,YELLOW,游리
2025-10-28,Fiori Checks For A1C,2,YELLOW,游리
2025-10-28,Global Consistency Check Run,3,RED,游댮
2025-10-28,HANA Database Version For A1H,1,GREEN,游릭
2025-10-28,HANA Database Version For D1H,1,GREEN,游릭
2025-10-28,HANA Database Version For Q1H,1,GREEN,游릭
2025-10-28,HANA Database Version For S2H,1,GREEN,游릭
2025-10-28,Hardware Capacity,1,GREEN,游릭
2025-10-28,Http/2 Support,1,GREEN,游릭
2025-10-28,Important Periodic Jobs,2,YELLOW,游리
2025-10-28,Important SAP Notes For SAP HANA,1,GREEN,游릭
2025-10-28,Largest Non-Partitioned Column Tables (Records),1,GREEN,游릭
2025-10-28,License Information,1,GREEN,游릭
2025-10-28,Memory Allocation Of Tables,1,GREEN,游릭
2025-10-28,Memory Consumption Of Indexserver,2,YELLOW,游리
2025-10-28,Memory Usage Of SAP HANA Instance,1,GREEN,游릭
2025-10-28,Memory Usage Of SAP HANA Server,1,GREEN,游릭
2025-10-28,Operating System(S) - Maintenance Phases,1,GREEN,游릭
2025-10-28,Overview System A1C,1,GREEN,游릭
2025-10-28,Parameter Recommendation,2,YELLOW,游리
2025-10-28,Performance Evaluation,2,YELLOW,游리
2025-10-28,Performance Indicators For A1C,1,GREEN,游릭
2025-10-28,Performance Overview A1C,1,GREEN,游릭
2025-10-28,Remote Function Call For - A1C,3,RED,游댮
2025-10-28,Row Store Fragmentation,1,GREEN,游릭
2025-10-28,Row Store Size,1,GREEN,游릭
2025-10-28,SAP Application Release - Maintenance Phases,3,RED,游댮
2025-10-28,SAP Fiori Front-End Server Version,1,GREEN,游릭
2025-10-28,SAP Fiori Launchpad - Spaces And Pages Adoption,1,GREEN,游릭
2025-10-28,SAP Fiori Launchpad Performance - Home Page Mode,1,GREEN,游릭
2025-10-28,SAP HANA Alerts,2,YELLOW,游리
2025-10-28,SAP HANA Database A1H,3,RED,游댮
2025-10-28,SAP HANA Database D1H,2,YELLOW,游리
2025-10-28,SAP HANA Database Q1H,2,YELLOW,游리
2025-10-28,SAP HANA Database S2H,2,YELLOW,游리
2025-10-28,SAP HANA Dumps,2,YELLOW,游리
2025-10-28,SAP HANA Resource Consumption,1,GREEN,游릭
2025-10-28,SAP HANA Service Restarts,1,GREEN,游릭
2025-10-28,SAP HANA Workload Management,2,YELLOW,游리
2025-10-28,SAP HANA: Installed Dbsl Version,1,GREEN,游릭
2025-10-28,SAP HANA: Installed Sqldbc Version,1,GREEN,游릭
2025-10-28,SAP Netweaver Application Server ABAP Of A1C,1,GREEN,游릭
2025-10-28,SAP Netweaver Gateway,2,YELLOW,游리
2025-10-28,SAP System Operating A1C,1,GREEN,游릭
2025-10-28,SAPui5 Version,1,GREEN,游릭
2025-10-28,Security,3,RED,游댮
2025-10-28,Security Risk Due To Outdated Support Packages,2,YELLOW,游리
2025-10-28,Sending Earlywatch Alert Of A1C To SAP Backbone,1,GREEN,游릭
2025-10-28,Service Data Quality And Service Readiness,2,YELLOW,游리
2025-10-28,Service Preparation Check (Rtcctool),2,YELLOW,游리
2025-10-28,Service Preparation Of A1C,2,YELLOW,游리
2025-10-28,Service Summary,3,RED,游댮
2025-10-28,Software Change And Transport Management Of A1C,1,GREEN,游릭
2025-10-28,Software Configuration For A1C,2,YELLOW,游리
2025-10-28,Statisticsserver And Monitoring,2,YELLOW,游리
